distance_km,transport_mode,driver_availability,week,surge_multiplier,traffic,pickup_hour,fare_price,pickup_address_encoded,drop_address_encoded
11.8,0,0,2,1.0,1,5,207,449.9795918367347,486.0625
6.7,3,2,1,1.2,1,1,156,352.48387096774195,452.0769230769231
5.4,0,1,1,2.1,0,20,233,424.9230769230769,468.45
35.4,0,2,2,1.4,0,16,785,508.1818181818182,382.61764705882354
13.1,0,0,6,1.0,1,23,226,332.2325581395349,381.6744186046512
20.9,0,2,5,1.1,2,16,378,447.6315789473685,314.8863636363636
21.9,0,0,5,1.0,2,23,358,334.42,313.0
19.0,3,0,5,1.0,1,12,278,405.86046511627904,345.53333333333336
26.3,2,0,1,1.0,1,11,303,333.9,433.03225806451616
22.5,2,0,2,1.0,2,12,265,382.27777777777777,383.2745098039216
19.0,2,2,0,1.1,2,7,253,376.1842105263158,418.71875
8.4,2,2,1,1.5,2,7,186,349.6046511627907,313.5777777777778
36.3,1,2,0,1.1,2,4,262,364.575,405.8222222222222
13.7,3,0,4,1.0,2,2,214,418.2173913043478,325.12820512820514
33.6,0,0,1,1.0,1,1,534,507.2619047619048,469.1666666666667
21.5,4,0,1,1.0,1,1,467,325.9736842105263,343.7333333333333
37.9,0,1,5,2.4,0,17,1436,467.7714285714285,470.4864864864865
11.1,2,2,5,1.3,1,12,196,339.79487179487177,395.27272727272725
18.7,2,0,0,1.0,1,11,227,386.2,432.3125
3.4,2,0,0,1.0,2,18,74,430.7368421052632,486.0625
26.7,2,0,1,1.0,1,5,307,303.22857142857146,323.65625
24.3,0,2,0,1.4,2,11,552,345.1081081081081,500.0377358490566
15.7,0,2,5,1.3,1,7,345,352.28125,355.57142857142856
17.4,3,0,2,1.0,1,6,259,467.7714285714285,381.4516129032258
24.2,3,0,2,1.0,2,16,340,508.2608695652174,405.8222222222222
11.4,2,2,2,1.3,1,22,200,516.219512195122,374.2702702702703
16.1,3,0,0,1.0,1,7,243,412.1785714285714,367.375
20.5,4,0,4,1.0,1,1,449,402.9,366.6666666666667
14.7,3,2,5,1.3,0,17,294,386.7608695652174,385.5869565217391
10.5,3,2,0,1.2,2,13,211,374.6285714285714,376.4047619047619
15.6,2,2,6,1.5,2,3,294,293.531914893617,423.2368421052632
28.5,0,0,3,1.0,1,5,458,449.9795918367347,369.9736842105263
14.5,1,0,1,1.0,1,1,107,374.6285714285714,474.77777777777777
11.4,0,0,3,1.0,1,2,201,293.531914893617,266.6585365853659
15.8,2,0,3,1.0,1,5,198,339.79487179487177,443.44444444444446
12.7,3,0,5,1.0,1,3,202,487.87179487179486,345.53333333333336
38.4,0,1,2,1.8,0,8,1091,508.2608695652174,412.0888888888889
42.0,0,2,4,1.3,0,19,858,447.6315789473685,431.7878787878788
17.6,0,2,6,1.2,2,14,353,345.27777777777777,384.6315789473685
34.4,3,0,6,1.0,2,13,463,404.04545454545456,428.28205128205127
23.3,1,2,5,1.3,1,11,208,390.8571428571428,366.6666666666667
17.9,2,0,5,1.0,1,1,219,444.61538461538464,343.5833333333333
14.3,0,2,3,1.3,2,20,318,375.7368421052632,338.7179487179488
32.7,0,1,6,2.1,0,18,1093,449.9795918367347,379.65
24.5,3,0,1,1.0,1,21,344,409.0,373.9318181818182
32.0,0,2,1,1.3,1,1,663,476.2439024390244,557.1666666666666
7.8,2,2,4,1.5,0,17,177,320.9714285714286,320.2857142857143
19.3,1,2,1,1.3,2,11,177,325.9736842105263,369.0
29.9,2,0,6,1.0,2,14,339,347.075,383.2745098039216
21.9,1,2,3,1.1,0,9,167,361.9142857142857,313.5777777777778
25.1,3,0,6,1.0,2,7,351,382.8684210526316,387.1627906976744
13.3,0,2,0,1.3,2,0,298,476.2439024390244,442.8529411764706
31.8,3,2,1,1.4,0,20,604,345.27777777777777,345.53333333333336
38.1,0,0,2,1.0,1,6,602,382.27777777777777,439.5882352941176
14.7,3,1,4,2.3,0,9,521,326.44736842105266,422.625
19.2,2,1,1,2.5,0,9,580,421.3142857142857,366.8484848484849
9.3,1,0,4,1.0,1,7,76,325.9736842105263,314.76
17.4,3,2,1,1.3,1,21,336,326.09375,423.2368421052632
23.6,3,2,0,1.1,2,3,367,460.24,458.39473684210526
38.8,3,0,6,1.0,1,14,516,374.6285714285714,499.4358974358975
32.1,2,1,3,1.9,0,10,686,460.24,378.22222222222223
18.1,3,0,2,1.0,1,5,267,449.9795918367347,463.54285714285714
17.6,0,0,3,1.0,1,4,294,357.65714285714284,314.8863636363636
8.0,0,2,6,1.4,2,15,210,335.8837209302326,313.0
17.9,3,2,5,1.4,2,14,371,350.68,395.6285714285714
15.0,0,1,2,1.8,0,8,459,409.0,463.4651162790698
31.5,3,2,1,1.3,0,9,556,375.7368421052632,486.8139534883721
14.9,0,2,1,1.2,1,21,304,400.7586206896552,331.2888888888889
11.6,2,0,2,1.0,1,16,156,382.27777777777777,323.65625
21.8,2,0,5,1.0,1,16,258,364.575,320.2857142857143
15.9,2,2,3,1.2,0,18,239,349.43333333333334,422.0208333333333
24.7,0,2,6,1.1,2,11,441,467.7714285714285,500.3225806451613
12.1,3,0,1,1.0,2,11,195,382.27777777777777,304.6829268292683
16.4,3,2,5,1.1,2,15,271,513.0652173913044,345.3414634146341
30.1,0,2,3,1.4,2,12,674,374.6285714285714,439.9583333333333
29.9,0,2,1,1.2,0,19,574,333.9,469.1666666666667
21.0,2,1,4,2.3,0,19,575,352.48387096774195,352.875
19.8,0,0,4,1.0,1,21,327,403.1315789473685,398.2916666666667
42.9,0,0,5,1.0,2,4,674,516.219512195122,421.1463414634146
11.3,3,0,6,1.0,1,16,186,487.87179487179486,349.8181818181818
20.4,0,0,6,1.0,1,4,336,303.22857142857146,433.03225806451616
20.6,2,0,5,1.0,1,5,246,390.8571428571428,395.2
9.7,3,1,2,1.9,0,10,316,351.4807692307692,348.3684210526316
6.9,0,0,6,1.0,1,1,134,448.575,410.68
21.5,2,2,2,1.3,1,21,332,403.47222222222223,432.3125
20.5,3,2,2,1.2,0,13,355,318.6222222222222,500.3225806451613
29.4,4,2,2,1.2,2,13,731,397.9787234042553,407.54545454545456
7.4,0,0,1,1.0,1,22,141,334.42,404.7058823529412
17.7,0,0,0,1.0,1,5,296,417.1555555555556,435.8
20.8,1,0,2,1.0,1,3,145,386.2,439.9583333333333
9.8,0,0,5,1.0,1,1,177,352.75925925925924,351.8333333333333
23.7,3,2,0,1.2,2,10,401,300.6666666666667,385.5869565217391
22.7,2,2,2,1.2,1,6,320,384.8181818181818,449.5
33.1,0,0,5,1.0,2,3,526,382.9024390243902,353.64102564102564
11.8,2,2,5,1.3,2,18,205,449.9795918367347,486.0625
15.8,4,2,4,1.4,0,9,510,326.44736842105266,413.28205128205127
6.0,4,0,4,1.0,1,22,188,409.0,363.5405405405405
19.1,2,1,6,2.2,0,19,508,293.531914893617,395.6285714285714
13.1,0,1,2,2.3,0,17,521,297.5625,369.0
15.1,1,0,5,1.0,1,6,111,408.56410256410254,404.7058823529412
14.4,3,0,6,1.0,1,11,223,328.2857142857143,472.1935483870968
27.0,0,0,3,1.0,2,8,435,361.9142857142857,387.1627906976744
25.4,0,2,3,1.3,2,11,534,349.6046511627907,433.03225806451616
35.3,0,0,1,1.0,1,23,560,357.65714285714284,439.9583333333333
27.5,0,1,5,2.4,0,17,1062,408.56410256410254,389.20454545454544
7.9,2,1,3,2.5,0,18,298,400.7586206896552,366.8484848484849
11.7,0,2,1,1.2,2,2,247,434.8157894736842,381.6744186046512
21.4,0,0,3,1.0,1,13,351,335.8837209302326,422.0208333333333
